date,expiration,strike,right,open_interest,spot
2026-06-01,2026-06-05,16.0,P,20,25.0
2026-06-01,2026-06-05,17.0,C,17,25.0
2026-06-01,2026-06-05,17.0,P,19,25.0
2026-06-01,2026-06-05,18.0,C,30,25.0
2026-06-01,2026-06-05,18.0,P,32,25.0
2026-06-01,2026-06-05,19.0,C,62,25.0
2026-06-01,2026-06-05,19.0,P,76,25.0
2026-06-01,2026-06-05,20.0,C,72,25.0
2026-06-01,2026-06-05,20.0,P,102,25.0
2026-06-01,2026-06-05,21.0,C,193,25.0
2026-06-01,2026-06-05,21.0,P,201,25.0
2026-06-01,2026-06-05,22.0,C,172,25.0
2026-06-01,2026-06-05,22.0,P,299,25.0
2026-06-01,2026-06-05,23.0,C,376,25.0
2026-06-01,2026-06-05,23.0,P,599,25.0
2026-06-01,2026-06-05,24.0,C,553,25.0
2026-06-01,2026-06-05,24.0,P,939,25.0
2026-06-01,2026-06-05,24.5,C,1244,25.0
2026-06-01,2026-06-05,24.5,P,861,25.0
2026-06-01,2026-06-05,25.0,C,940,25.0
2026-06-01,2026-06-05,25.0,P,541,25.0
2026-06-01,2026-06-05,25.5,C,1144,25.0
2026-06-01,2026-06-05,25.5,P,876,25.0
2026-06-01,2026-06-05,26.0,C,730,25.0
2026-06-01,2026-06-05,26.0,P,362,25.0
2026-06-01,2026-06-05,26.5,C,470,25.0
2026-06-01,2026-06-05,26.5,P,504,25.0
2026-06-01,2026-06-05,27.0,C,675,25.0
2026-06-01,2026-06-05,27.0,P,403,25.0
2026-06-01,2026-06-05,27.5,C,343,25.0
2026-06-01,2026-06-05,27.5,P,301,25.0
2026-06-01,2026-06-05,28.0,C,377,25.0
2026-06-01,2026-06-05,28.0,P,250,25.0
2026-06-01,2026-06-05,29.0,C,345,25.0
2026-06-01,2026-06-05,29.0,P,176,25.0
2026-06-01,2026-06-05,30.0,C,691,25.0
2026-06-01,2026-06-05,30.0,P,119,25.0
2026-06-01,2026-06-05,32.5,C,90,25.0
2026-06-01,2026-06-05,32.5,P,65,25.0
2026-06-01,2026-06-05,35.0,C,23,25.0
2026-06-01,2026-06-05,35.0,P,22,25.0
2026-06-01,2026-06-05,37.5,C,16,25.0
2026-06-01,2026-06-05,40.0,C,27,25.0
2026-06-01,2026-06-05,40.0,P,11,25.0
2026-06-01,2026-06-12,13.0,P,10,25.0
2026-06-01,2026-06-12,14.0,P,19,25.0
2026-06-01,2026-06-12,15.0,C,12,25.0
2026-06-01,2026-06-12,15.0,P,25,25.0
2026-06-01,2026-06-12,16.0,C,28,25.0
2026-06-01,2026-06-12,16.0,P,34,25.0
2026-06-01,2026-06-12,17.0,C,41,25.0
2026-06-01,2026-06-12,17.0,P,47,25.0
2026-06-01,2026-06-12,18.0,C,47,25.0
2026-06-01,2026-06-12,18.0,P,79,25.0
2026-06-01,2026-06-12,19.0,C,51,25.0
2026-06-01,2026-06-12,19.0,P,157,25.0
2026-06-01,2026-06-12,20.0,C,96,25.0
2026-06-01,2026-06-12,20.0,P,192,25.0
2026-06-01,2026-06-12,21.0,C,190,25.0
2026-06-01,2026-06-12,21.0,P,318,25.0
2026-06-01,2026-06-12,22.0,C,283,25.0
2026-06-01,2026-06-12,22.0,P,366,25.0
2026-06-01,2026-06-12,23.0,C,266,25.0
2026-06-01,2026-06-12,23.0,P,506,25.0
2026-06-01,2026-06-12,24.0,C,231,25.0
2026-06-01,2026-06-12,24.0,P,425,25.0
2026-06-01,2026-06-12,24.5,C,305,25.0
2026-06-01,2026-06-12,24.5,P,577,25.0
2026-06-01,2026-06-12,25.0,C,1006,25.0
2026-06-01,2026-06-12,25.0,P,407,25.0
2026-06-01,2026-06-12,25.5,C,665,25.0
2026-06-01,2026-06-12,25.5,P,766,25.0
2026-06-01,2026-06-12,26.0,C,583,25.0
2026-06-01,2026-06-12,26.0,P,547,25.0
2026-06-01,2026-06-12,26.5,C,416,25.0
2026-06-01,2026-06-12,26.5,P,343,25.0
2026-06-01,2026-06-12,27.0,C,362,25.0
2026-06-01,2026-06-12,27.0,P,287,25.0
2026-06-01,2026-06-12,27.5,C,594,25.0
2026-06-01,2026-06-12,27.5,P,154,25.0
2026-06-01,2026-06-12,28.0,C,453,25.0
2026-06-01,2026-06-12,28.0,P,270,25.0
2026-06-01,2026-06-12,29.0,C,246,25.0
2026-06-01,2026-06-12,29.0,P,116,25.0
2026-06-01,2026-06-12,30.0,C,732,25.0
2026-06-01,2026-06-12,30.0,P,126,25.0
2026-06-01,2026-06-12,32.5,C,145,25.0
2026-06-01,2026-06-12,32.5,P,86,25.0
2026-06-01,2026-06-12,35.0,C,138,25.0
2026-06-01,2026-06-12,35.0,P,46,25.0
2026-06-01,2026-06-12,37.5,C,33,25.0
2026-06-01,2026-06-12,37.5,P,32,25.0
2026-06-01,2026-06-12,40.0,C,98,25.0
2026-06-01,2026-06-12,40.0,P,31,25.0
2026-06-01,2026-06-12,42.5,C,26,25.0
2026-06-01,2026-06-12,42.5,P,14,25.0
2026-06-01,2026-06-12,45.0,C,21,25.0
2026-06-01,2026-06-19,10.0,P,10,25.0
2026-06-01,2026-06-19,11.0,P,14,25.0
2026-06-01,2026-06-19,12.0,C,23,25.0
2026-06-01,2026-06-19,12.0,P,47,25.0
2026-06-01,2026-06-19,13.0,C,70,25.0
2026-06-01,2026-06-19,13.0,P,163,25.0
2026-06-01,2026-06-19,14.0,C,64,25.0
2026-06-01,2026-06-19,14.0,P,66,25.0
2026-06-01,2026-06-19,15.0,C,40,25.0
2026-06-01,2026-06-19,15.0,P,158,25.0
2026-06-01,2026-06-19,16.0,C,96,25.0
2026-06-01,2026-06-19,16.0,P,186,25.0
2026-06-01,2026-06-19,17.0,C,150,25.0
2026-06-01,2026-06-19,17.0,P,299,25.0
2026-06-01,2026-06-19,18.0,C,387,25.0
2026-06-01,2026-06-19,18.0,P,475,25.0
2026-06-01,2026-06-19,19.0,C,354,25.0
2026-06-01,2026-06-19,19.0,P,439,25.0
2026-06-01,2026-06-19,20.0,C,286,25.0
2026-06-01,2026-06-19,20.0,P,734,25.0
2026-06-01,2026-06-19,21.0,C,686,25.0
2026-06-01,2026-06-19,21.0,P,2191,25.0
2026-06-01,2026-06-19,22.0,C,979,25.0
2026-06-01,2026-06-19,22.0,P,2226,25.0
2026-06-01,2026-06-19,23.0,C,1037,25.0
2026-06-01,2026-06-19,23.0,P,1376,25.0
2026-06-01,2026-06-19,24.0,C,1149,25.0
2026-06-01,2026-06-19,24.0,P,2109,25.0
2026-06-01,2026-06-19,24.5,C,3861,25.0
2026-06-01,2026-06-19,24.5,P,2320,25.0
2026-06-01,2026-06-19,25.0,C,4358,25.0
2026-06-01,2026-06-19,25.0,P,1516,25.0
2026-06-01,2026-06-19,25.5,C,3978,25.0
2026-06-01,2026-06-19,25.5,P,2102,25.0
2026-06-01,2026-06-19,26.0,C,2407,25.0
2026-06-01,2026-06-19,26.0,P,1604,25.0
2026-06-01,2026-06-19,26.5,C,1795,25.0
2026-06-01,2026-06-19,26.5,P,1689,25.0
2026-06-01,2026-06-19,27.0,C,1713,25.0
2026-06-01,2026-06-19,27.0,P,837,25.0
2026-06-01,2026-06-19,27.5,C,1145,25.0
2026-06-01,2026-06-19,27.5,P,1217,25.0
2026-06-01,2026-06-19,28.0,C,2781,25.0
2026-06-01,2026-06-19,28.0,P,1083,25.0
2026-06-01,2026-06-19,29.0,C,1233,25.0
2026-06-01,2026-06-19,29.0,P,909,25.0
2026-06-01,2026-06-19,30.0,C,4927,25.0
2026-06-01,2026-06-19,30.0,P,718,25.0
2026-06-01,2026-06-19,32.5,C,546,25.0
2026-06-01,2026-06-19,32.5,P,594,25.0
2026-06-01,2026-06-19,35.0,C,461,25.0
2026-06-01,2026-06-19,35.0,P,434,25.0
2026-06-01,2026-06-19,37.5,C,274,25.0
2026-06-01,2026-06-19,37.5,P,107,25.0
2026-06-01,2026-06-19,40.0,C,320,25.0
2026-06-01,2026-06-19,40.0,P,196,25.0
2026-06-01,2026-06-19,42.5,C,215,25.0
2026-06-01,2026-06-19,42.5,P,70,25.0
2026-06-01,2026-06-19,45.0,C,72,25.0
2026-06-01,2026-06-19,45.0,P,88,25.0
2026-06-01,2026-06-19,47.5,C,39,25.0
2026-06-01,2026-06-19,47.5,P,27,25.0
2026-06-01,2026-06-19,50.0,C,53,25.0
2026-06-01,2026-06-19,50.0,P,23,25.0
2026-06-01,2026-06-26,11.0,P,13,25.0
2026-06-01,2026-06-26,12.0,P,17,25.0
2026-06-01,2026-06-26,13.0,P,21,25.0
2026-06-01,2026-06-26,14.0,C,14,25.0
2026-06-01,2026-06-26,14.0,P,21,25.0
2026-06-01,2026-06-26,15.0,C,20,25.0
2026-06-01,2026-06-26,15.0,P,42,25.0
2026-06-01,2026-06-26,16.0,C,55,25.0
2026-06-01,2026-06-26,16.0,P,42,25.0
2026-06-01,2026-06-26,17.0,C,56,25.0
2026-06-01,2026-06-26,17.0,P,80,25.0
2026-06-01,2026-06-26,18.0,C,68,25.0
2026-06-01,2026-06-26,18.0,P,185,25.0
2026-06-01,2026-06-26,19.0,C,126,25.0
2026-06-01,2026-06-26,19.0,P,281,25.0
2026-06-01,2026-06-26,20.0,C,131,25.0
2026-06-01,2026-06-26,20.0,P,183,25.0
2026-06-01,2026-06-26,21.0,C,168,25.0
2026-06-01,2026-06-26,21.0,P,334,25.0
2026-06-01,2026-06-26,22.0,C,250,25.0
2026-06-01,2026-06-26,22.0,P,272,25.0
2026-06-01,2026-06-26,23.0,C,311,25.0
2026-06-01,2026-06-26,23.0,P,552,25.0
2026-06-01,2026-06-26,24.0,C,923,25.0
2026-06-01,2026-06-26,24.0,P,1245,25.0
2026-06-01,2026-06-26,24.5,C,318,25.0
2026-06-01,2026-06-26,24.5,P,654,25.0
2026-06-01,2026-06-26,25.0,C,449,25.0
2026-06-01,2026-06-26,25.0,P,390,25.0
2026-06-01,2026-06-26,25.5,C,750,25.0
2026-06-01,2026-06-26,25.5,P,655,25.0
2026-06-01,2026-06-26,26.0,C,467,25.0
2026-06-01,2026-06-26,26.0,P,307,25.0
2026-06-01,2026-06-26,26.5,C,255,25.0
2026-06-01,2026-06-26,26.5,P,328,25.0
2026-06-01,2026-06-26,27.0,C,337,25.0
2026-06-01,2026-06-26,27.0,P,260,25.0
2026-06-01,2026-06-26,27.5,C,324,25.0
2026-06-01,2026-06-26,27.5,P,273,25.0
2026-06-01,2026-06-26,28.0,C,215,25.0
2026-06-01,2026-06-26,28.0,P,153,25.0
2026-06-01,2026-06-26,29.0,C,692,25.0
2026-06-01,2026-06-26,29.0,P,134,25.0
2026-06-01,2026-06-26,30.0,C,556,25.0
2026-06-01,2026-06-26,30.0,P,331,25.0
2026-06-01,2026-06-26,32.5,C,482,25.0
2026-06-01,2026-06-26,32.5,P,74,25.0
2026-06-01,2026-06-26,35.0,C,101,25.0
2026-06-01,2026-06-26,35.0,P,83,25.0
2026-06-01,2026-06-26,37.5,C,144,25.0
2026-06-01,2026-06-26,37.5,P,35,25.0
2026-06-01,2026-06-26,40.0,C,151,25.0
2026-06-01,2026-06-26,40.0,P,46,25.0
2026-06-01,2026-06-26,42.5,C,45,25.0
2026-06-01,2026-06-26,42.5,P,22,25.0
2026-06-01,2026-06-26,45.0,C,27,25.0
2026-06-01,2026-06-26,45.0,P,11,25.0
2026-06-01,2026-06-26,47.5,C,19,25.0
2026-06-01,2026-06-26,47.5,P,12,25.0
2026-06-01,2026-06-26,50.0,C,17,25.0
2026-06-01,2026-07-17,10.0,C,50,25.0
2026-06-01,2026-07-17,10.0,P,102,25.0
2026-06-01,2026-07-17,11.0,C,64,25.0
2026-06-01,2026-07-17,11.0,P,116,25.0
2026-06-01,2026-07-17,12.0,C,87,25.0
2026-06-01,2026-07-17,12.0,P,144,25.0
2026-06-01,2026-07-17,13.0,C,90,25.0
2026-06-01,2026-07-17,13.0,P,219,25.0
2026-06-01,2026-07-17,14.0,C,149,25.0
2026-06-01,2026-07-17,14.0,P,543,25.0
2026-06-01,2026-07-17,15.0,C,350,25.0
2026-06-01,2026-07-17,15.0,P,389,25.0
2026-06-01,2026-07-17,16.0,C,198,25.0
2026-06-01,2026-07-17,16.0,P,295,25.0
2026-06-01,2026-07-17,17.0,C,495,25.0
2026-06-01,2026-07-17,17.0,P,604,25.0
2026-06-01,2026-07-17,18.0,C,481,25.0
2026-06-01,2026-07-17,18.0,P,372,25.0
2026-06-01,2026-07-17,19.0,C,693,25.0
2026-06-01,2026-07-17,19.0,P,991,25.0
2026-06-01,2026-07-17,20.0,C,413,25.0
2026-06-01,2026-07-17,20.0,P,873,25.0
2026-06-01,2026-07-17,21.0,C,807,25.0
2026-06-01,2026-07-17,21.0,P,1265,25.0
2026-06-01,2026-07-17,22.0,C,795,25.0
2026-06-01,2026-07-17,22.0,P,1433,25.0
2026-06-01,2026-07-17,23.0,C,956,25.0
2026-06-01,2026-07-17,23.0,P,1860,25.0
2026-06-01,2026-07-17,24.0,C,2059,25.0
2026-06-01,2026-07-17,24.0,P,845,25.0
2026-06-01,2026-07-17,24.5,C,1226,25.0
2026-06-01,2026-07-17,24.5,P,2391,25.0
2026-06-01,2026-07-17,25.0,C,2495,25.0
2026-06-01,2026-07-17,25.0,P,1264,25.0
2026-06-01,2026-07-17,25.5,C,1127,25.0
2026-06-01,2026-07-17,25.5,P,1496,25.0
2026-06-01,2026-07-17,26.0,C,3541,25.0
2026-06-01,2026-07-17,26.0,P,723,25.0
2026-06-01,2026-07-17,26.5,C,2433,25.0
2026-06-01,2026-07-17,26.5,P,1025,25.0
2026-06-01,2026-07-17,27.0,C,1637,25.0
2026-06-01,2026-07-17,27.0,P,740,25.0
2026-06-01,2026-07-17,27.5,C,1387,25.0
2026-06-01,2026-07-17,27.5,P,1573,25.0
2026-06-01,2026-07-17,28.0,C,1784,25.0
2026-06-01,2026-07-17,28.0,P,1707,25.0
2026-06-01,2026-07-17,29.0,C,1919,25.0
2026-06-01,2026-07-17,29.0,P,948,25.0
2026-06-01,2026-07-17,30.0,C,6163,25.0
2026-06-01,2026-07-17,30.0,P,832,25.0
2026-06-01,2026-07-17,32.5,C,1095,25.0
2026-06-01,2026-07-17,32.5,P,473,25.0
2026-06-01,2026-07-17,35.0,C,631,25.0
2026-06-01,2026-07-17,35.0,P,309,25.0
2026-06-01,2026-07-17,37.5,C,668,25.0
2026-06-01,2026-07-17,37.5,P,200,25.0
2026-06-01,2026-07-17,40.0,C,1455,25.0
2026-06-01,2026-07-17,40.0,P,220,25.0
2026-06-01,2026-07-17,42.5,C,440,25.0
2026-06-01,2026-07-17,42.5,P,243,25.0
2026-06-01,2026-07-17,45.0,C,443,25.0
2026-06-01,2026-07-17,45.0,P,193,25.0
2026-06-01,2026-07-17,47.5,C,109,25.0
2026-06-01,2026-07-17,47.5,P,119,25.0
2026-06-01,2026-07-17,50.0,C,103,25.0
2026-06-01,2026-07-17,50.0,P,83,25.0
2026-06-01,2026-09-18,10.0,C,128,25.0
2026-06-01,2026-09-18,10.0,P,159,25.0
2026-06-01,2026-09-18,11.0,C,78,25.0
2026-06-01,2026-09-18,11.0,P,118,25.0
2026-06-01,2026-09-18,12.0,C,130,25.0
2026-06-01,2026-09-18,12.0,P,142,25.0
2026-06-01,2026-09-18,13.0,C,129,25.0
2026-06-01,2026-09-18,13.0,P,308,25.0
2026-06-01,2026-09-18,14.0,C,304,25.0
2026-06-01,2026-09-18,14.0,P,424,25.0
2026-06-01,2026-09-18,15.0,C,111,25.0
2026-06-01,2026-09-18,15.0,P,467,25.0
2026-06-01,2026-09-18,16.0,C,309,25.0
2026-06-01,2026-09-18,16.0,P,587,25.0
2026-06-01,2026-09-18,17.0,C,634,25.0
2026-06-01,2026-09-18,17.0,P,295,25.0
2026-06-01,2026-09-18,18.0,C,346,25.0
2026-06-01,2026-09-18,18.0,P,884,25.0
2026-06-01,2026-09-18,19.0,C,287,25.0
2026-06-01,2026-09-18,19.0,P,1413,25.0
2026-06-01,2026-09-18,20.0,C,660,25.0
2026-06-01,2026-09-18,20.0,P,1318,25.0
2026-06-01,2026-09-18,21.0,C,549,25.0
2026-06-01,2026-09-18,21.0,P,1504,25.0
2026-06-01,2026-09-18,22.0,C,1117,25.0
2026-06-01,2026-09-18,22.0,P,1407,25.0
2026-06-01,2026-09-18,23.0,C,951,25.0
2026-06-01,2026-09-18,23.0,P,1625,25.0
2026-06-01,2026-09-18,24.0,C,734,25.0
2026-06-01,2026-09-18,24.0,P,1591,25.0
2026-06-01,2026-09-18,24.5,C,1000,25.0
2026-06-01,2026-09-18,24.5,P,2036,25.0
2026-06-01,2026-09-18,25.0,C,2483,25.0
2026-06-01,2026-09-18,25.0,P,773,25.0
2026-06-01,2026-09-18,25.5,C,1580,25.0
